C1	9.97	-6.12	0.00	1uF/X7R	0603
C10	32.50	6.35	0.00	5.6pF	0603
C11	21.44	-6.45	270.00	10pF	0603
C12	29.04	-9.19	180.00	100nF	0603
C13	2.55	6.90	0.00	100nF	0603
C14	15.43	0.29	0.00	100nF	0603
C2	2.56	-6.91	180.00	1uF/X7R	0603
C3	15.39	2.47	270.00	4.7uF	0603
C4	13.15	3.38	180.00	100nF	0603
C5	26.64	-6.45	90.00	10pF	0603
C6	16.14	-8.06	270.00	4.7uF	0603
C7	27.16	3.49	90.00	100nF	0603
C8	9.37	3.38	180.00	1uF	0603
C9	28.43	4.13	90.00	10uF	0603
D1	18.67	-8.06	270.00	BLUE	LED-0603
D2	13.35	-8.37	90.00	BLUE	LED-0603
D3	9.45	-1.56	180.00	B5819W	SOD323-R
D4	10.95	-8.36	90.00	BLUE	LED-0603
F1	8.69	-3.82	270.00	6V 0.5A	0603
R1	10.30	-3.84	270.00	4k7	0603
R10	9.65	-8.37	270.00	1k	0603
R11	30.29	7.14	270.00	 	0603
R12	34.70	6.79	270.00	 	0603
R13	27.64	7.30	270.00	100k	0603
R14	26.34	7.30	90.00	220k	0603
R15	22.22	5.68	270.00	10k	0603
R16	18.82	5.91	315.00	10k	0603
R17	19.72	6.82	315.00	10k	0603
R2	18.13	-4.56	0.00	470	0603
R3	18.13	-5.86	0.00	470	0603
R4	17.40	-8.06	90.00	1k	0603
R5	28.75	-6.45	90.00	12k	0603
R6	17.28	3.39	90.00	200	0603
R7	25.02	7.30	90.00	10k	0603
R8	30.05	-6.45	270.00	10k	0603
R9	14.63	-8.06	90.00	1k	0603
S1	6.41	8.84	270.00	SWITCH	TACTILE_SWITCH_SMD_RIGHT_ANGLE
U$1	6.96	-8.36	270.00		SOT23-5
U$11	11.15	0.94	90.00	USBLC6-2	SOT23-6
U$2	18.19	-2.25	90.00	U2	SOT363
U$3	24.03	-6.45	0.00		3.2X2.5_KX-7
U$4	34.75	-1.39	270.00		AN9520
U1	22.80	0.00	180.00	ESP8266	QFN32-5X5MM
U2	12.12	6.85	270.00	W25Q32FV	SOIC-8
U3	13.77	-3.57	270.00	CP2104	QFN24_4MM_SMSC
USB-C	4.72	0.00	270.00		USB-C_BLOW_BOARD
